filmname,year,language,genre,director,actor,imdbrating
The Shawshank Redemption,1994,English,Drama,Frank Darabont,Tim Robbins,9.3
The Godfather,1972,English,Crime/Drama,Francis Ford Coppola,Marlon Brando,9.2
The Dark Knight,2008,English,Action/Crime,Christopher Nolan,Christian Bale,9.0
Schindler's List,1993,English,Biography/Drama,Steven Spielberg,Liam Neeson,9.0
12 Angry Men,1957,English,Drama,Sidney Lumet,Henry Fonda,9.0
Pulp Fiction,1994,English,Crime/Drama,Quentin Tarantino,John Travolta,8.9
The Lord of the Rings: The Return of the King,2003,English,Adventure/Fantasy,Peter Jackson,Elijah Wood,9.0
Fight Club,1999,English,Drama/Thriller,David Fincher,Brad Pitt,8.8
Forrest Gump,1994,English,Drama/Romance,Robert Zemeckis,Tom Hanks,8.8
Inception,2010,English,Action/Sci-Fi,Christopher Nolan,Leonardo DiCaprio,8.8
The Matrix,1999,English,Action/Sci-Fi,Lana Wachowski,Keanu Reeves,8.7
Goodfellas,1990,English,Biography/Crime,Martin Scorsese,Robert De Niro,8.7
One Flew Over the Cuckoo's Nest,1975,English,Drama,Milos Forman,Jack Nicholson,8.7
Interstellar,2014,English,Adventure/Sci-Fi,Christopher Nolan,Matthew McConaughey,8.7
The Silence of the Lambs,1991,English,Crime/Thriller,Jonathan Demme,Jodie Foster,8.6
Saving Private Ryan,1998,English,Drama/War,Steven Spielberg,Tom Hanks,8.6
The Green Mile,1999,English,Crime/Drama,Frank Darabont,Tom Hanks,8.6
Gladiator,2000,English,Action/Adventure,Ridley Scott,Russell Crowe,8.5
The Lion King,1994,English,Animation/Adventure,Roger Allers,Matthew Broderick,8.5
Whiplash,2014,English,Drama/Music,Damien Chazelle,Miles Teller,8.5
Joker,2019,English,Crime/Drama,Todd Phillips,Joaquin Phoenix,8.4
The Departed,2006,English,Crime/Drama,Martin Scorsese,Leonardo DiCaprio,8.5
Avengers: Endgame,2019,English,Action/Adventure,Anthony Russo,Robert Downey Jr.,8.4
Django Unchained,2012,English,Drama/Western,Quentin Tarantino,Jamie Foxx,8.4
The Prestige,2006,English,Drama/Mystery,Christopher Nolan,Hugh Jackman,8.5
Memento,2000,English,Mystery/Thriller,Christopher Nolan,Guy Pearce,8.4
Spirited Away,2001,English,Animation/Adventure,Hayao Miyazaki,Daveigh Chase,8.6
Parasite,2019,English,Drama/Thriller,Bong Joon-ho,Song Kang-ho,8.5
The Pianist,2002,English,Biography/Drama,Roman Polanski,Adrien Brody,8.5
Braveheart,1995,English,Biography/Drama,Mel Gibson,Mel Gibson,8.3
The Truman Show,1998,English,Drama/Sci-Fi,Peter Weir,Jim Carrey,8.2
A Beautiful Mind,2001,English,Biography/Drama,Ron Howard,Russell Crowe,8.2
No Country for Old Men,2007,English,Crime/Drama,Joel Coen,Tommy Lee Jones,8.2
The Usual Suspects,1995,English,Crime/Mystery,Bryan Singer,Kevin Spacey,8.5
Inglourious Basterds,2009,English,Adventure/Drama,Quentin Tarantino,Brad Pitt,8.3
Once Upon a Time in America,1984,English,Crime/Drama,Sergio Leone,Robert De Niro,8.3
Apocalypse Now,1979,English,Drama/War,Francis Ford Coppola,Marlon Brando,8.4
Good Will Hunting,1997,English,Drama/Romance,Gus Van Sant,Matt Damon,8.3
Catch Me If You Can,2002,English,Biography/Crime,Steven Spielberg,Leonardo DiCaprio,8.1
The Wolf of Wall Street,2013,English,Biography/Crime,Martin Scorsese,Leonardo DiCaprio,8.2
Back to the Future,1985,English,Adventure/Comedy,Robert Zemeckis,Michael J. Fox,8.5
The Godfather Part II,1974,English,Crime/Drama,Francis Ford Coppola,Al Pacino,9.0
Se7en,1995,English,Crime/Mystery,David Fincher,Brad Pitt,8.6
American History X,1998,English,Crime/Drama,Tony Kaye,Edward Norton,8.5
